feature_index,token
0,abcd
1,abhijit
2,ability
3,able
4,abnormally
5,absence
6,abstract
7,abstraction
8,accept
9,acceptable
10,accepted
11,accepts
12,access
13,accessor
14,accommodating
15,accomplish
16,accordance
17,according
18,accuracy
19,accurate
20,achieve
21,achieves
22,achieving
23,acm
24,across
25,act
26,action
27,activate
28,activated
29,activating
30,active
31,actor
32,actual
33,actually
34,adapted
35,add
36,added
37,adding
38,addition
39,additional
40,additionally
41,additive
42,address
43,addressed
44,adequately
45,admin
46,advance
47,advanced
48,advantage
49,advisory
50,affect
51,affected
52,afmparser
53,aforementioned
54,aforementionned
55,afterwards
56,agent
57,ago
58,agree
59,ahead
60,aiff
61,aim
62,aimed
63,aka
64,algorithm
65,alias
66,aliasing
67,align
68,alignment
69,allocate
70,allocation
71,allow
72,allowed
73,allowing
74,allows
75,almost
76,alone
77,along
78,alphanumeric
79,already
80,alternate
81,alternative
82,alternatively
83,although
84,always
85,ambiguity
86,among
87,amount
88,analysed
89,analyser
90,analysing
91,analysis
92,anastasija
93,another
94,answer
95,antipattern
96,anyayunli
97,anyone
98,anything
99,apach
100,api
101,apis
102,app
103,apparently
104,appeal
105,appear
106,appears
107,appended
108,appender
109,applicable
110,application
111,applied
112,apply
113,applying
114,appreciate
115,approach
116,appropriate
117,appropriately
118,approximately
119,apps
120,appspot
121,arbitrary
122,architecture
123,archive
124,archived
125,area
126,argument
127,army
128,around
129,arrange
130,array
131,art
132,article
133,artifact
134,ascii
135,ask
136,asking
137,aspect
138,assay
139,assign
140,associated
141,assume
142,assuming
143,assumption
144,async
145,asynchronously
146,attach
147,attachable
148,attached
149,attachment
150,attack
151,attacker
152,attempt
153,attempted
154,attention
155,attribute
156,atypical
157,audio
158,audit
159,auditor
160,augmenting
161,auth
162,authentication
163,author
164,authorization
165,auto
166,autodetect
167,automated
168,automatic
169,automatically
170,automating
171,available
172,avenue
173,average
174,avg
175,avoid
176,avoiding
177,aware
178,away
179,back
180,backed
181,backend
182,background
183,backup
184,backwards
185,bad
186,bag
187,bandwidth
188,bank
189,base
190,based
191,baseline
192,basic
193,basis
194,batch
195,batching
196,bayesian
197,bean
198,bearing
199,beauty
200,became
201,become
202,becomes
203,begin
204,beginning
205,begun
206,behavior
207,behaviour
208,behind
209,beleive
210,believe
211,believed
212,benefit
213,best
214,beta
215,better
216,beyond
217,bialecki
218,big
219,bin
220,binary
221,biomedical
222,bit
223,black
224,blacklisting
225,blank
226,bleskes
227,bless
228,bloated
229,block
230,blocked
231,blocker
232,blocking
233,bmc
234,body
235,boilerpipe
236,boilerplate
237,bomb
238,bonus
239,boolean
240,border
241,bother
242,bottom
243,bouncy
244,boundary
245,bounding
246,box
247,brain
248,branch
249,breaching
250,break
251,breaking
252,bring
253,bringing
254,brittle
255,broaden
256,broken
257,browser
258,btw
259,bucket
260,buffer
261,buffered
262,buffering
263,bug
264,build
265,builder
266,building
267,built
268,bump
269,bumped
270,bunch
271,bundle
272,bundling
273,byte
274,bzip
275,cache
276,caching
277,cad
278,cake
279,calculation
280,call
281,callable
282,called
283,caller
284,calling
285,came
286,cannot
287,capability
288,capable
289,capital
290,caption
291,captioning
292,capture
293,capturing
294,cardinality
295,care
296,carefully
297,carried
298,case
299,caste
300,castle
301,casuses
302,catdoc
303,category
304,caught
305,cause
306,caused
307,caution
308,cbor
309,cborfactory
310,cborgenerator
311,cdf
312,ceased
313,cell
314,center
315,central
316,centralize
317,certain
318,certainty
319,cgi
320,chain
321,challenge
322,challenged
323,chance
324,change
325,changed
326,changeset
327,channel
328,chaotic
329,char
330,character
331,charron
332,charset
333,cheap
334,cheaper
335,check
336,checkbox
337,checkboxes
338,checked
339,checker
340,checking
341,cherry
342,chi
343,child
344,chm
345,choice
346,choose
347,choosed
348,chrismattmann
349,christian
350,cited
351,city
352,class
353,classic
354,classification
355,classify
356,classloader
357,classloaders
358,clause
359,clean
360,cleaner
361,cleaning
362,clear
363,clearest
364,clearing
365,clearly
366,clever
367,cli
368,click
369,clicked
370,client
371,clog
372,clone
373,close
374,closed
375,closely
376,closing
377,cloud
378,clustering
379,clutter
380,code
381,codebase
382,coded
383,coherent
384,coincide
385,col
386,collaborate
387,collect
388,collected
389,collection
390,color
391,combination
392,combine
393,combined
394,combo
395,come
396,coming
397,command
398,commandline
399,comment
400,commit
401,committers
402,committing
403,common
404,commonsfileupload
405,communication
406,companding
407,comparator
408,compare
409,compared
410,comparison
411,compatibility
412,competition
413,compile
414,complete
415,completed
416,complex
417,complexity
418,complicated
419,component
420,composer
421,composite
422,comprehensive
423,compress
424,compressed
425,compression
426,compressor
427,computation
428,computational
429,compute
430,computed
431,computer
432,computes
433,concept
434,concern
435,concerning
436,conclude
437,condition
438,conditional
439,conduct
440,conference
441,confidence
442,config
443,configurable
444,configuration
445,configure
446,configured
447,confirm
448,conflicting
449,conform
450,connect
451,connection
452,connector
453,consider
454,considerable
455,considerably
456,consideration
457,considered
458,considering
459,consistency
460,consistent
461,consists
462,consolidating
463,consolidation
464,constantly
465,constit
466,constructed
467,construction
468,constructor
469,consume
470,consumed
471,consumption
472,contact
473,contain
474,container
475,containing
476,contains
477,content
478,contenthandler
479,context
480,continue
481,contribute
482,contributing
483,contribution
484,control
485,controller
486,convenience
487,convenient
488,converge
489,convert
490,converted
491,converting
492,convinced
493,cookie
494,cooky
495,coordinate
496,coordination
497,copied
498,copy
499,core
500,corpus
501,correct
502,correctly
503,corresponding
504,cost
505,costly
506,count
507,counterfeit
508,counterpart
509,counting
510,country
511,couple
512,coupling
513,course
514,cover
515,cpu
516,craft
517,crafted
518,crafting
519,crash
520,crawl
521,crawled
522,crazy
523,create
524,created
525,creates
526,creating
527,creation
528,crippling
529,critical
530,crlf
531,cross
532,csv
533,csvs
534,ctx
535,cumbersome
536,curl
537,current
538,currently
539,custom
540,customer
541,customization
542,customize
543,cut
544,cve
545,cvss
546,cwe
547,cxf
548,daemon
549,dangerous
550,data
551,database
552,databind
553,dataformat
554,datasets
555,date
556,datum
557,day
558,ddo
559,dead
560,deal
561,dealing
562,debugging
563,decision
564,declaration
565,decoder
566,decoding
567,decorates
568,decorator
569,decouple
570,decrease
571,dedicated
572,deduce
573,deep
574,deeper
575,default
576,defaulting
577,define
578,defined
579,defines
580,defining
581,definition
582,definitive
583,defitinions
584,degrade
585,degree
586,delegate
587,delegating
588,deletion
589,delimiter
590,deliver
591,delivers
592,demand
593,demonstrate
594,denial
595,depend
596,dependence
597,dependency
598,dependent
599,depending
600,depends
601,deploy
602,deployed
603,deployment
604,deprecate
605,deprecated
606,deriving
607,describe
608,described
609,describes
610,describing
611,description
612,descriptor
613,deserialization
614,deserialize
615,deserialized
616,deserializer
617,deserializing
618,design
619,designed
620,desirable
621,desired
622,desktop
623,despite
624,detail
625,detailed
626,detect
627,detected
628,detecting
629,detection
630,detector
631,detects
632,deteriorate
633,determine
634,detrimental
635,dev
636,develop
637,developed
638,developer
639,development
640,deviation
641,dictate
642,dictionary
643,difference
644,different
645,differently
646,difficult
647,dig
648,digest
649,digesting
650,dih
651,dimension
652,dimensional
653,dir
654,direct
655,directly
656,directory
657,disable
658,disallow
659,disc
660,disclosure
661,discovered
662,discus
663,discussed
664,discussion
665,disk
666,dispatch
667,displayed
668,disproportionate
669,distinguish
670,distortion
671,distributed
672,distribution
673,div
674,diverse
675,diverted
676,divided
677,dll
678,doc
679,docker
680,dockerfiles
681,dockerized
682,document
683,documentation
684,documenting
685,docx
686,dom
687,domain
688,done
689,dot
690,doubly
691,doubt
692,download
693,downloading
694,downside
695,downtime
696,draft
697,drawer
698,drawn
699,drew
700,drop
701,dsa
