token,frequency,document_frequency
parser,348,103
file,276,82
metadata,222,64
type,139,41
text,116,49
content,109,43
test,108,14
code,106,38
document,101,50
version,95,38
pdf,82,9
user,79,33
server,77,32
stream,76,30
data,75,32
parse,75,27
class,74,40
add,72,56
java,68,24
property,67,11
object,66,34
vulnerability,64,29
log,62,8
input,61,30
cve,61,23
core,61,22
method,59,25
vulnerable,57,19
detection,55,28
service,54,22
xml,54,20
image,54,17
case,52,39
string,52,18
based,50,32
example,50,32
support,49,31
application,48,23
name,48,19
byte,46,17
field,45,14
currently,44,38
mime,44,14
number,43,19
source,42,20
sonatype,42,9
value,41,24
component,41,21
information,40,30
format,40,22
