token,frequency,document_frequency
parser,348,103
file,276,82
metadata,222,64
type,139,41
text,116,49
content,109,43
test,108,14
code,106,38
document,101,50
version,95,38
pdf,82,9
user,79,33
server,77,32
stream,76,30
data,75,32
parse,75,27
class,74,40
add,72,56
java,68,24
property,67,11
object,66,34
vulnerability,64,29
log,62,8
input,61,30
cve,61,23
core,61,22
method,59,25
vulnerable,57,19
detection,55,28
service,54,22
xml,54,20
image,54,17
case,52,39
string,52,18
based,50,32
example,50,32
support,49,31
application,48,23
name,48,19
byte,46,17
field,45,14
currently,44,38
mime,44,14
number,43,19
source,42,20
sonatype,42,9
value,41,24
component,41,21
information,40,30
format,40,22
handler,40,20
implementation,39,25
jar,39,17
process,38,22
extract,37,26
memory,37,21
model,37,13
work,36,30
way,36,28
output,36,22
default,36,15
open,35,17
url,35,10
parsing,32,22
result,32,21
security,32,19
common,32,15
html,32,12
following,31,26
detector,31,14
extractor,31,12
may,30,21
current,29,22
order,29,15
path,29,14
config,29,8
allow,28,26
available,28,24
extraction,28,21
patch,28,19
able,28,17
cvss,28,7
see,27,21
etc,27,17
embedded,27,13
page,27,11
configuration,27,10
library,26,21
given,26,20
run,26,20
change,26,17
tag,26,9
create,25,18
extracted,25,18
provide,25,18
interface,25,17
return,25,17
via,25,16
tool,25,14
api,25,13
exif,25,4
processing,24,21
already,24,20
first,24,20
dependency,24,17
list,24,14
attacker,24,10
mapping,24,5
instead,23,22
time,23,16
client,23,13
key,23,13
module,23,12
language,23,10
emitter,23,9
map,23,9
cxf,23,4
cache,23,3
think,22,19
specific,22,17
project,22,16
app,22,13
different,22,13
request,22,12
task,22,12
attack,22,8
web,22,8
recognition,22,7
cbor,22,1
better,21,19
useful,21,19
improve,21,18
option,21,15
resource,21,15
approach,21,13
function,21,11
parsed,21,10
context,21,9
within,20,18
detect,20,14
problem,20,13
separate,20,13
feature,20,12
office,20,9
system,20,9
zip,20,7
probability,20,1
even,19,15
call,19,14
header,19,10
external,19,9
magic,19,4
translator,19,2
good,18,17
implement,18,17
possible,18,16
simple,18,14
cause,18,12
instance,18,12
line,18,12
recommendation,18,11
pipe,18,8
however,17,16
description,17,12
main,17,12
non,17,12
party,17,11
added,17,10
endpoint,17,10
thread,17,10
word,17,9
custom,17,8
error,17,7
mimetypes,17,6
pdfbox,17,5
microsoft,17,3
detail,16,16
amount,16,13
exception,16,13
might,16,13
related,16,13
allows,16,12
find,16,12
upgrade,16,12
crafted,16,10
search,16,8
character,16,7
container,16,7
jackson,16,7
ocr,16,7
net,16,6
geo,16,5
fetcher,16,4
bit,15,13
propose,15,13
well,15,13
handling,15,12
solution,15,12
advisory,15,10
entry,15,8
cli,15,7
composite,15,6
rest,15,6
date,15,5
params,15,3
let,14,14
base,14,12
help,14,12
package,14,12
back,14,11
extra,14,11
provides,14,11
read,14,11
additional,14,10
best,14,10
plain,14,9
enable,14,8
standard,14,8
pattern,14,7
malicious,14,6
nlp,14,4
prior,14,4
translate,14,1
many,13,12
start,13,12
database,13,11
existing,13,11
large,13,11
several,13,11
similar,13,11
without,13,11
detected,13,10
thing,13,10
fix,13,9
optional,13,9
build,13,8
third,13,8
accept,13,7
bundle,13,7
fork,13,7
match,13,7
medium,13,7
fixed,13,6
form,13,6
json,13,6
logging,13,4
geographic,13,3
contains,12,12
another,12,11
include,12,11
per,12,11
working,12,11
great,12,10
initial,12,10
root,12,9
proposed,12,8
arbitrary,12,7
exploit,12,7
command,12,6
denial,12,6
eval,12,6
async,12,5
txt,12,5
training,12,3
keywords,12,2
handle,11,10
level,11,10
made,11,10
single,11,10
seems,11,9
since,11,9
attachment,11,8
check,11,8
implemented,11,8
mean,11,8
parameter,11,8
present,11,8
size,11,8
store,11,8
configurable,11,7
look,11,7
mechanism,11,7
note,11,7
poi,11,7
remote,11,7
info,11,6
nexus,11,6
response,11,6
xhtml,11,6
body,11,5
extension,11,5
fetch,11,5
pdfs,11,5
xmp,11,5
location,11,4
nutch,11,4
untrusted,11,4
compress,11,3
identification,11,3
reader,11,3
site,11,3
boilerpipe,11,2
configure,10,10
easy,10,10
generic,10,10
needed,10,10
adding,10,9
due,10,9
functionality,10,9
improvement,10,9
put,10,9
write,10,9
found,10,8
latest,10,8
category,10,7
done,10,7
explanation,10,7
part,10,7
encoding,10,6
factory,10,6
network,10,6
table,10,6
thus,10,6
deserialization,10,5
raw,10,5
research,10,5
constructor,10,4
domain,10,4
dublin,10,4
rmeta,10,4
impl,10,2
xss,10,2
grb,10,1
subject,10,1
addition,9,9
configured,9,9
consider,9,9
reference,9,9
release,9,9
still,9,9
creating,9,8
entire,9,8
much,9,8
take,9,8
design,9,7
includes,9,7
prevent,9,7
something,9,7
basic,9,6
buffer,9,6
control,9,6
cwe,9,6
element,9,6
filter,9,6
maven,9,6
parent,9,6
performance,9,6
rule,9,6
severity,9,6
weakness,9,6
auditor,9,5
defined,9,5
doc,9,5
jpeg,9,5
last,9,5
upgrading,9,5
directory,9,4
processor,9,4
public,9,4
script,9,4
browser,9,3
forked,9,3
docker,9,2
excel,9,2
gui,9,2
label,9,2
boilerplate,9,1
isa,9,1
study,9,1
attached,8,8
automatically,8,8
come,8,8
easily,8,8
every,8,8
idea,8,8
including,8,8
lot,8,8
next,8,8
pas,8,8
structure,8,8
access,8,7
around,8,7
define,8,7
fairly,8,7
framework,8,7
multiple,8,7
passed,8,7
require,8,7
small,8,7
alternative,8,6
copy,8,6
exists,8,6
making,8,6
old,8,6
probably,8,6
remove,8,6
reported,8,6
short,8,6
side,8,6
style,8,6
update,8,6
databind,8,5
entity,8,5
later,8,5
mimetype,8,5
move,8,5
people,8,5
reading,8,5
sax,8,5
auto,8,4
crawl,8,4
environment,8,4
lib,8,4
recommend,8,4
specially,8,4
phone,8,3
render,8,3
retrieve,8,3
sample,8,3
trust,8,3
uri,8,3
audio,8,2
namespace,8,2
sentiment,8,2
tab,8,2
target,8,2
callable,8,1
sun,8,1
contain,7,7
either,7,7
full,7,7
give,7,7
included,7,7
national,7,7
perform,7,7
point,7,7
quite,7,7
right,7,7
actually,7,6
allowing,7,6
cannot,7,6
challenge,7,6
discussion,7,6
enough,7,6
execute,7,6
implementing,7,6
length,7,6
loading,7,6
provided,7,6
running,7,6
trigger,7,6
actual,7,5
batch,7,5
containing,7,5
event,7,5
goal,7,5
interested,7,5
less,7,5
lucene,7,5
question,7,5
rather,7,5
returned,7,5
temporary,7,5
title,7,5
try,7,5
abstract,7,4
cell,7,4
crash,7,4
limit,7,4
message,7,4
reporting,7,4
robust,7,4
second,7,4
send,7,4
updated,7,4
analysis,7,3
convert,7,3
msoffice,7,3
video,7,3
attribute,7,2
child,7,2
frame,7,2
investigation,7,2
assay,7,1
datum,7,1
odf,7,1
spring,7,1
weight,7,1
xerces,7,1
finally,6,6
going,6,6
ideally,6,6
index,6,6
introduce,6,6
keep,6,6
nice,6,6
required,6,6
seem,6,6
state,6,6
step,6,6
accuracy,6,5
affect,6,5
algorithm,6,5
choice,6,5
directly,6,5
dom,6,5
extracting,6,5
flexible,6,5
integration,6,5
likely,6,5
loop,6,5
operation,6,5
particular,6,5
regular,6,5
report,6,5
resolution,6,5
robustness,6,5
sent,6,5
simplify,6,5
simply,6,5
smaller,6,5
unit,6,5
vector,6,5
wrapper,6,5
collection,6,4
definition,6,4
digest,6,4
execution,6,4
facade,6,4
follows,6,4
google,6,4
leave,6,4
parses,6,4
runtime,6,4
sending,6,4
special,6,4
strategy,6,4
trained,6,4
hint,6,3
ignore,6,3
internal,6,3
modified,6,3
original,6,3
password,6,3
solr,6,3
timeout,6,3
utils,6,3
cross,6,2
decorator,6,2
delegating,6,2
latitude,6,2
primary,6,2
recogniser,6,2
rtf,6,2
socket,6,2
intuition,6,1
memetix,6,1
mst,6,1
sheet,6,1
swf,6,1
typing,6,1
ability,5,5
area,5,5
binary,5,5
calling,5,5
compared,5,5
complex,5,5
consumption,5,5
created,5,5
discussed,5,5
especially,5,5
essentially,5,5
exist,5,5
extend,5,5
fact,5,5
free,5,5
higher,5,5
huge,5,5
important,5,5
infinite,5,5
known,5,5
lead,5,5
least,5,5
logic,5,5
machine,5,5
maybe,5,5
meta,5,5
must,5,5
none,5,5
others,5,5
overhead,5,5
passing,5,5
plan,5,5
pre,5,5
proposal,5,5
purpose,5,5
refactor,5,5
relying,5,5
representation,5,5
requires,5,5
resulting,5,5
scan,5,5
sometimes,5,5
space,5,5
specify,5,5
storing,5,5
supply,5,5
supported,5,5
therefore,5,5
thrown,5,5
variable,5,5
whole,5,5
written,5,5
box,5,4
choose,5,4
close,5,4
consistent,5,4
disk,5,4
enabled,5,4
expose,5,4
flexibility,5,4
jdbc,5,4
know,5,4
load,5,4
oom,5,4
place,5,4
post,5,4
rce,5,4
really,5,4
situation,5,4
stack,5,4
storage,5,4
stored,5,4
streaming,5,4
top,5,4
topic,5,4
usage,5,4
argument,5,3
border,5,3
buffering,5,3
caller,5,3
compare,5,3
csv,5,3
emit,5,3
empty,5,3
equal,5,3
false,5,3
future,5,3
hierarchy,5,3
hyperlink,5,3
layout,5,3
leak,5,3
link,5,3
mark,5,3
named,5,3
negative,5,3
paper,5,3
program,5,3
proxy,5,3
record,5,3
rendered,5,3
signature,5,3
starting,5,3
static,5,3
three,5,3
unpack,5,3
variety,5,3
wrap,5,3
array,5,2
bag,5,2
char,5,2
cloud,5,2
country,5,2
fasterxml,5,2
forking,5,2
glob,5,2
preference,5,2
profile,5,2
reflect,5,2
relation,5,2
rereadable,5,2
restart,5,2
selection,5,2
temp,5,2
total,5,2
accessor,5,1
admin,5,1
bayesian,5,1
bouncy,5,1
dumper,5,1
fontbox,5,1
isatab,5,1
native,5,1
neural,5,1
panasonic,5,1
scripting,5,1
along,4,4
although,4,4
always,4,4
background,4,4
beginning,4,4
breaking,4,4
building,4,4
built,4,4
compatibility,4,4
condition,4,4
considered,4,4
contact,4,4
creates,4,4
delegate,4,4
describe,4,4
direct,4,4
easier,4,4
efficient,4,4
encoded,4,4
english,4,4
extended,4,4
fails,4,4
faster,4,4
focus,4,4
folk,4,4
general,4,4
hello,4,4
high,4,4
identify,4,4
integrate,4,4
layer,4,4
long,4,4
looking,4,4
missing,4,4
multi,4,4
never,4,4
often,4,4
osgi,4,4
overlap,4,4
perhaps,4,4
pick,4,4
possibility,4,4
potential,4,4
potentially,4,4
providing,4,4
reason,4,4
recently,4,4
recommended,4,4
relevant,4,4
removing,4,4
speed,4,4
ticket,4,4
tiff,4,4
traffic,4,4
trivial,4,4
true,4,4
turn,4,4
unable,4,4
utility,4,4
whatever,4,4
writer,4,4
writing,4,4
address,4,3
affected,4,3
allowed,4,3
break,4,3
builder,4,3
called,4,3
certain,4,3
clean,4,3
computer,4,3
cpu,4,3
discus,4,3
equivalent,4,3
expand,4,3
fetchers,4,3
generally,4,3
generate,4,3
global,4,3
greater,4,3
group,4,3
hang,4,3
heading,4,3
import,4,3
inline,4,3
kind,4,3
knowledge,4,3
overflow,4,3
pluggable,4,3
previously,4,3
refactoring,4,3
term,4,3
usually,4,3
utf,4,3
bomb,4,2
capture,4,2
care,4,2
coded,4,2
compile,4,2
creation,4,2
critical,4,2
dump,4,2
excluding,4,2
failure,4,2
final,4,2
frequency,4,2
geospatial,4,2
hash,4,2
intermediate,4,2
jvm,4,2
nio,4,2
offset,4,2
pdfparser,4,2
print,4,2
rdf,4,2
registry,4,2
relocated,4,2
rfc,4,2
secondary,4,2
sqlite,4,2
stacktraces,4,2
stateless,4,2
tesseract,4,2
tree,4,2
upload,4,2
variation,4,2
worth,4,2
bucket,4,1
captioning,4,1
cardinality,4,1
castle,4,1
checker,4,1
classify,4,1
computation,4,1
dumped,4,1
embedder,4,1
exiftool,4,1
init,4,1
news,4,1
provider,4,1
quote,4,1
transport,4,1
traversal,4,1
undetected,4,1
xfdl,4,1
abhijit,3,3
accurate,3,3
additionally,3,3
advance,3,3
aim,3,3
anyone,3,3
anything,3,3
apach,3,3
apply,3,3
art,3,3
attempt,3,3
avoid,3,3
aware,3,3
backwards,3,3
become,3,3
believe,3,3
block,3,3
blocking,3,3
capability,3,3
changed,3,3
chrismattmann,3,3
classification,3,3
clearly,3,3
combination,3,3
combine,3,3
comment,3,3
concept,3,3
copied,3,3
correct,3,3
cover,3,3
day,3,3
deal,3,3
decouple,3,3
defining,3,3
depending,3,3
deserialized,3,3
desirable,3,3
detecting,3,3
determine,3,3
difficult,3,3
discovered,3,3
docx,3,3
duration,3,3
exact,3,3
experiment,3,3
explicit,3,3
explicitly,3,3
exploited,3,3
facility,3,3
feedback,3,3
filename,3,3
fine,3,3
flag,3,3
gadget,3,3
guarantee,3,3
handled,3,3
heuristic,3,3
hub,3,3
identified,3,3
increase,3,3
inspired,3,3
intended,3,3
interest,3,3
iso,3,3
item,3,3
javascript,3,3
job,3,3
jukka,3,3
legitimate,3,3
limited,3,3
little,3,3
loaded,3,3
lookup,3,3
mailing,3,3
majority,3,3
manage,3,3
markup,3,3
matching,3,3
mentioned,3,3
moving,3,3
necessary,3,3
normalize,3,3
occur,3,3
octet,3,3
ole,3,3
ooxml,3,3
optimization,3,3
performed,3,3
plugin,3,3
poorly,3,3
populated,3,3
practice,3,3
produce,3,3
pull,3,3
rajwade,3,3
reasonably,3,3
recent,3,3
referenced,3,3
regard,3,3
remediation,3,3
replace,3,3
respective,3,3
saving,3,3
scanner,3,3
sensitive,3,3
serialization,3,3
setting,3,3
show,3,3
software,3,3
somewhat,3,3
sort,3,3
specification,3,3
stacktrace,3,3
structured,3,3
sub,3,3
submitting,3,3
sure,3,3
syntax,3,3
thought,3,3
towards,3,3
track,3,3
trying,3,3
underlying,3,3
unlike,3,3
various,3,3
vendor,3,3
verify,3,3
wanted,3,3
wish,3,3
workaround,3,3
world,3,3
wrapped,3,3
yet,3,3
according,3,2
action,3,2
agent,3,2
article,3,2
attention,3,2
beyond,3,2
black,3,2
carefully,3,2
caused,3,2
channel,3,2
charset,3,2
complicated,3,2
confidence,3,2
depend,3,2
depends,3,2
duck,3,2
enabling,3,2
eventually,3,2
ever,3,2
exclusion,3,2
expensive,3,2
expression,3,2
fulltext,3,2
gazetteer,3,2
getting,3,2
gracefully,3,2
hand,3,2
heavily,3,2
histogram,3,2
identical,3,2
incorporate,3,2
initialize,3,2
inner,3,2
int,3,2
international,3,2
invalid,3,2
ioexception,3,2
jaxrs,3,2
jpg,3,2
labeling,3,2
lang,3,2
limiting,3,2
longitude,3,2
maximum,3,2
minimize,3,2
minimum,3,2
mode,3,2
modeling,3,2
mostly,3,2
natural,3,2
ner,3,2
notice,3,2
paragraph,3,2
param,3,2
pass,3,2
platform,3,2
populate,3,2
prevention,3,2
processed,3,2
protected,3,2
recursive,3,2
requirement,3,2
reverse,3,2
save,3,2
say,3,2
schema,3,2
sentence,3,2
snyk,3,2
solid,3,2
stable,3,2
technique,3,2
thinking,3,2
thumbnail,3,2
transitive,3,2
translation,3,2
typical,3,2
typically,3,2
view,3,2
void,3,2
whenever,3,2
window,3,2
xpath,3,2
xxe,3,2
assign,3,1
authorization,3,1
classloaders,3,1
compute,3,1
conditional,3,1
connector,3,1
coupling,3,1
decoder,3,1
delivers,3,1
descriptor,3,1
dictionary,3,1
disclosure,3,1
dsasigner,3,1
envi,3,1
escaping,3,1
gdal,3,1
interpreted,3,1
javax,3,1
logical,3,1
longtitude,3,1
pfa,3,1
plexus,3,1
predict,3,1
qname,3,1
quickly,3,1
scientific,3,1
simplicity,3,1
styling,3,1
suggest,3,1
tukaani,3,1
turtle,3,1
vorbis,3,1
xxxx,3,1
abstraction,2,2
accepted,2,2
accepts,2,2
across,2,2
advantage,2,2
ahead,2,2
alias,2,2
allocation,2,2
almost,2,2
apparently,2,2
applied,2,2
applying,2,2
architecture,2,2
aspect,2,2
assume,2,2
assumption,2,2
attempted,2,2
automatic,2,2
average,2,2
away,2,2
behavior,2,2
benefit,2,2
big,2,2
bottom,2,2
bring,2,2
bug,2,2
bumped,2,2
bunch,2,2
caching,2,2
cleaner,2,2
combined,2,2
commandline,2,2
commit,2,2
communication,2,2
complete,2,2
completed,2,2
comprehensive,2,2
compressed,2,2
concern,2,2
confirm,2,2
connection,2,2
consolidation,2,2
consume,2,2
continue,2,2
contribute,2,2
converting,2,2
corresponding,2,2
cost,2,2
count,2,2
couple,2,2
course,2,2
crawled,2,2
customization,2,2
cut,2,2
dealing,2,2
defaulting,2,2
defines,2,2
deploy,2,2
deprecated,2,2
describes,2,2
deserialize,2,2
deserializing,2,2
designed,2,2
detailed,2,2
detects,2,2
dev,2,2
develop,2,2
developed,2,2
developer,2,2
difference,2,2
distinguish,2,2
distribution,2,2
documentation,2,2
download,2,2
downloading,2,2
downside,2,2
drew,2,2
dummy,2,2
duplicate,2,2
dynamic,2,2
dynamically,2,2
earlier,2,2
effort,2,2
else,2,2
enables,2,2
end,2,2
enhanced,2,2
enhancement,2,2
ensure,2,2
ent,2,2
everything,2,2
excessive,2,2
exclude,2,2
executing,2,2
export,2,2
exposure,2,2
extends,2,2
extensibility,2,2
externally,2,2
extremely,2,2
failed,2,2
fair,2,2
fallback,2,2
far,2,2
fast,2,2
feasible,2,2
feed,2,2
filled,2,2
finding,2,2
focused,2,2
follow,2,2
followup,2,2
footprint,2,2
formed,2,2
frequent,2,2
fse,2,2
fully,2,2
generates,2,2
generating,2,2
git,2,2
gmail,2,2
grabbing,2,2
hadoop,2,2
happen,2,2
helpful,2,2
hit,2,2
hope,2,2
icu,2,2
ideal,2,2
ignoring,2,2
imho,2,2
immediate,2,2
impact,2,2
impacting,2,2
inclusion,2,2
incomplete,2,2
indicated,2,2
individual,2,2
initially,2,2
inject,2,2
inputstream,2,2
inside,2,2
integrated,2,2
intensive,2,2
internally,2,2
internet,2,2
introducing,2,2
investigating,2,2
involves,2,2
jempbox,2,2
jvms,2,2
keeping,2,2
knowing,2,2
learning,2,2
left,2,2
leverage,2,2
licensed,2,2
life,2,2
listed,2,2
listening,2,2
lock,2,2
longer,2,2
looked,2,2
low,2,2
magnitude,2,2
maintained,2,2
malformed,2,2
manner,2,2
